ClassN1,ID,TextoTratado,CreateTime,TotalTimeTracked,dominant_topic,top_words
ERP,18103,cliente acesso liberar acesso,08/07/2025 15:04:51,960,3,"instalar, liberar, transferir, recuperar, portar"
ERP,18101,arquivo bancario,08/07/2025 14:20:32,1140,2,"plano, agrupamento, tamanho, preco, moinho"
Infrastructure,18100,espaco livre volume disco,08/07/2025 12:47:56,0,2,"plano, agrupamento, tamanho, preco, moinho"
Infrastructure,18099,hub savassi trocado horario entrada saida importacao ocorrendo,08/07/2025 12:29:56,6000,1,"tolerancia, montagem, administracao, unidade, pasta"
ERP,18098,acesso xrm bloqueado desligamento bloqueio acessos corretor muniz veras cpf novolar,08/07/2025 11:58:06,360,9,"encerrados, faturados, criadas, corrompidos, contabilizados"
ERP,18097,reuniao alinhamento chamados,08/07/2025 11:49:32,3000,9,"encerrados, faturados, criadas, corrompidos, contabilizados"
ERP,18096,reuniao alinhamento horas apontadas,08/07/2025 11:41:05,2640,9,"encerrados, faturados, criadas, corrompidos, contabilizados"
Infrastructure,18095,reuniao explicacao processos,08/07/2025 11:40:02,4200,4,"modelos, produtos, itens, fornecedores, cadastros"
ERP,18094,colaborador prates logar senha atual recuperar senha criar avaliar,08/07/2025 11:31:19,300,3,"instalar, liberar, transferir, recuperar, portar"
ERP,18090,incluir cfop emitir devolucao coligada agm,08/07/2025 09:53:05,1080,3,"instalar, liberar, transferir, recuperar, portar"
ERP,18088,valores propostos assessoria sindical orcamento proposto reformulado acontecendo,08/07/2025 09:46:08,0,6,"ajustado, usado, explicado, solicitada, admitida"
